REF_DATE,GEO,DGUID,Educational qualification,Field of study,Gender,Age group,Status of student in Canada,Characteristics after graduation,Median employment income,Number of graduates
2020,Canada,2016A11124,Professional degree,Health care [b.5],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,87600.0,20.0
2020,Canada,2016A11124,Professional degree,Legal professions and studies [b.4],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,53700.0,20.0
2020,Canada,2016A11124,Professional degree,"Total, field of study","Total, gender",15 to 34 years ,International students,Graduates reporting employment income,78700.0,40.0
2020,Canada,2016A11124,Undergraduate degree,Arts and humanities [b.2],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,36000.0,950.0
2020,Canada,2016A11124,Undergraduate degree,BHASE [b],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,45100.0,8330.0
2020,Canada,2016A11124,Undergraduate degree,Business and administration [b.1],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,49500.0,3730.0
2020,Canada,2016A11124,Undergraduate degree,Education and teaching [b.6],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,44600.0,60.0
2020,Canada,2016A11124,Undergraduate degree,Engineering,"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,62700.0,2220.0
2020,Canada,2016A11124,Undergraduate degree,Health care [b.5],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,44500.0,440.0
2020,Canada,2016A11124,Undergraduate degree,Legal professions and studies [b.4],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,,10.0
2020,Canada,2016A11124,Undergraduate degree,Mathematics and computer and information sciences [a.3],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,66200.0,2110.0
2020,Canada,2016A11124,Undergraduate degree,STEM [a],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,58200.0,5430.0
2020,Canada,2016A11124,Undergraduate degree,Science tech,"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,43400.0,1120.0
2020,Canada,2016A11124,Undergraduate degree,Social and behavioural sciences [b.3],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,42200.0,2740.0
2020,Canada,2016A11124,Undergraduate degree,"Total, field of study","Total, gender",15 to 34 years ,International students,Graduates reporting employment income,48700.0,13760.0
2020,Canada,2016A11124,Undergraduate degree,"Trades, services, natural resources and conservation [b.7]","Total, gender",15 to 34 years ,International students,Graduates reporting employment income,43700.0,390.0
